Jugador,Equipo,Nacionalidad,Goles,Asistencias,Partidos
Erling Haaland,Manchester City FC,Norway,22,7.0,29
Thiago Rodrigues,Brentford FC,Brazil,19,1.0,31
Antoine Semenyo,Manchester City FC,Ghana,15,4.0,29
João Pedro,Chelsea FC,Brazil,14,5.0,31
Danny Welbeck,Brighton & Hove Albion FC,England,12,0.0,30
Hugo Ekitike,Liverpool FC,France,11,4.0,28
Viktor Gyökeres,Arsenal FC,Sweden,11,0.0,29
Dominic Calvert-Lewin,Leeds United FC,England,10,1.0,28
Harry Wilson,Fulham FC,Wales,10,6.0,29
Richarlison,Tottenham Hotspur FC,Brazil,9,3.0,26
Bruno Guimarães,Newcastle United FC,Brazil,9,4.0,24
Bryan Mbeumo,Manchester United FC,Cameroon,9,3.0,26
Cole Palmer,Chelsea FC,England,9,1.0,21
Benjamin Šeško,Manchester United FC,Slovenia,9,1.0,28
Eli Kroupi,AFC Bournemouth,France,9,0.0,31
Raúl Jiménez,Fulham FC,Mexico,9,3.0,30
Ollie Watkins,Aston Villa FC,England,9,1.0,30
Morgan Gibbs-White,Nottingham Forest FC,England,9,3.0,31
Enzo Fernández,Chelsea FC,Argentina,8,3.0,30
Bruno Fernandes,Manchester United FC,Portugal,8,16.0,28
